layer_256_3_conv1, 1, 35313, (256, 1), (114, 9), (14, 1), 0.6484375,compute bound
layer_256_3_conv1, 2, 43902, (128, 2), (86, 12), (14, 1), 0.578125,compute bound
layer_256_3_conv1, 3, 51241, (256, 1), (74, 14), (14, 1), 0.5078125,compute bound
layer_256_3_conv2, 1, 46859, (52, 5), (16, 16), (12, 1), 0.6730769230769231,compute bound
layer_256_3_conv2, 2, 57600, (128, 2), (16, 16), (12, 1), 0.578125,compute bound
layer_256_3_conv2, 3, 69630, (256, 1), (10, 26), (12, 1), 0.5078125,compute bound
layer_256_3_conv3, 1, 31189, (114, 9), (128, 2), (14, 1), 0.6842105263157895,memory bound
layer_256_3_conv3, 2, 39221, (148, 7), (128, 2), (14, 1), 0.6351351351351351,compute bound
layer_256_3_conv3, 3, 49692, (172, 6), (86, 3), (14, 1), 0.47674418604651164,compute bound
layer_256_4_conv1, 1, 35313, (256, 1), (114, 9), (14, 1), 0.6484375,compute bound
layer_256_4_conv1, 2, 43902, (128, 2), (86, 12), (14, 1), 0.578125,compute bound
layer_256_4_conv1, 3, 51241, (256, 1), (74, 14), (14, 1), 0.5078125,compute bound
layer_256_4_conv2, 1, 46859, (52, 5), (16, 16), (12, 1), 0.6730769230769231,compute bound
layer_256_4_conv2, 2, 57600, (128, 2), (16, 16), (12, 1), 0.578125,compute bound
layer_256_4_conv2, 3, 69630, (256, 1), (10, 26), (12, 1), 0.5078125,compute bound
layer_256_4_conv3, 1, 31189, (114, 9), (128, 2), (14, 1), 0.6842105263157895,memory bound
layer_256_4_conv3, 2, 39221, (148, 7), (128, 2), (14, 1), 0.6351351351351351,compute bound
layer_256_4_conv3, 3, 49692, (172, 6), (86, 3), (14, 1), 0.47674418604651164,compute bound
layer_256_5_conv1, 1, 35313, (256, 1), (114, 9), (14, 1), 0.6484375,compute bound
layer_256_5_conv1, 2, 43902, (128, 2), (86, 12), (14, 1), 0.578125,compute bound
layer_256_5_conv1, 3, 51241, (256, 1), (74, 14), (14, 1), 0.5078125,compute bound
layer_256_5_conv2, 1, 46859, (52, 5), (16, 16), (12, 1), 0.6730769230769231,compute bound
layer_256_5_conv2, 2, 57600, (128, 2), (16, 16), (12, 1), 0.578125,compute bound
layer_256_5_conv2, 3, 69630, (256, 1), (10, 26), (12, 1), 0.5078125,compute bound
layer_256_5_conv3, 1, 31189, (114, 9), (128, 2), (14, 1), 0.6842105263157895,memory bound
layer_256_5_conv3, 2, 39221, (148, 7), (128, 2), (14, 1), 0.6351351351351351,compute bound
layer_256_5_conv3, 3, 49692, (172, 6), (86, 3), (14, 1), 0.47674418604651164,compute bound
layer_256_6_conv1, 1, 35313, (256, 1), (114, 9), (14, 1), 0.6484375,compute bound
layer_256_6_conv1, 2, 43902, (128, 2), (86, 12), (14, 1), 0.578125,compute bound
layer_256_6_conv1, 3, 51241, (256, 1), (74, 14), (14, 1), 0.5078125,compute bound
layer_256_6_conv2, 1, 46859, (52, 5), (16, 16), (12, 1), 0.6730769230769231,compute bound
layer_256_6_conv2, 2, 57600, (128, 2), (16, 16), (12, 1), 0.578125,compute bound
layer_256_6_conv2, 3, 69630, (256, 1), (10, 26), (12, 1), 0.5078125,compute bound
layer_256_6_conv3, 1, 31189, (114, 9), (128, 2), (14, 1), 0.6842105263157895,memory bound
layer_256_6_conv3, 2, 39221, (148, 7), (128, 2), (14, 1), 0.6351351351351351,compute bound
layer_256_6_conv3, 3, 49692, (172, 6), (86, 3), (14, 1), 0.47674418604651164,compute bound
layer_512_1_conv4, 1, 220210, (294, 7), (128, 8), (14, 1), 0.6938775510204082,compute bound
layer_512_1_conv4, 2, 281097, (228, 9), (128, 8), (14, 1), 0.6052631578947368,compute bound
layer_512_1_conv4, 3, 372451, (172, 12), (128, 8), (14, 1), 0.47674418604651164,compute bound
layer_512_1_conv1, 1, 58971, (172, 3), (128, 8), (14, 1), 0.686046511627907,compute bound
layer_512_1_conv1, 2, 81660, (512, 1), (94, 11), (14, 1), 0.61328125,compute bound
layer_512_1_conv1, 3, 95965, (172, 3), (114, 9), (14, 1), 0.47674418604651164,compute bound
layer_512_1_conv2, 1, 168449, (172, 3), (16, 32), (12, 1), 0.6918604651162791,compute bound
layer_512_1_conv2, 2, 202752, (512, 1), (16, 32), (12, 1), 0.6484375,compute bound
layer_512_1_conv2, 3, 259299, (512, 1), (16, 32), (12, 1), 0.54296875,compute bound
layer_512_1_conv3, 1, 44067, (108, 19), (128, 4), (7, 1), 0.6851851851851852,memory bound
layer_512_1_conv3, 2, 65988, (64, 32), (64, 8), (7, 1), 0.4375,memory bound
layer_512_1_conv3, 3, 77436, (82, 25), (64, 8), (7, 1), 0.34146341463414637,memory bound
layer_512_2_conv1, 1, 44379, (172, 3), (82, 25), (7, 1), 0.6918604651162791,memory bound
layer_512_2_conv1, 2, 65988, (64, 8), (64, 32), (7, 1), 0.4375,memory bound
layer_512_2_conv1, 3, 79008, (86, 6), (64, 32), (7, 1), 0.37209302325581395,memory bound
layer_512_2_conv2, 1, 97346, (128, 4), (8, 64), (5, 1), 0.6875,memory bound
layer_512_2_conv2, 2, 147578, (32, 16), (4, 128), (5, 1), 0.1875,memory bound
layer_512_2_conv2, 3, 161695, (64, 8), (8, 64), (5, 1), 0.1875,memory bound
layer_512_2_conv3, 1, 44067, (108, 19), (128, 4), (7, 1), 0.6851851851851852,memory bound
layer_512_2_conv3, 2, 65988, (64, 32), (64, 8), (7, 1), 0.4375,memory bound
layer_512_2_conv3, 3, 77436, (82, 25), (64, 8), (7, 1), 0.34146341463414637,memory bound
layer_512_3_conv1, 1, 44379, (172, 3), (82, 25), (7, 1), 0.6918604651162791,memory bound
layer_512_3_conv1, 2, 65988, (64, 8), (64, 32), (7, 1), 0.4375,memory bound
layer_512_3_conv1, 3, 79008, (86, 6), (64, 32), (7, 1), 0.37209302325581395,memory bound
layer_512_3_conv2, 1, 97346, (128, 4), (8, 64), (5, 1), 0.6875,memory bound
layer_512_3_conv2, 2, 147578, (32, 16), (4, 128), (5, 1), 0.1875,memory bound
layer_512_3_conv2, 3, 161695, (64, 8), (8, 64), (5, 1), 0.1875,memory bound
layer_512_3_conv3, 1, 44067, (108, 19), (128, 4), (7, 1), 0.6851851851851852,memory bound
layer_512_3_conv3, 2, 65988, (64, 32), (64, 8), (7, 1), 0.4375,memory bound
layer_512_3_conv3, 3, 77436, (82, 25), (64, 8), (7, 1), 0.34146341463414637,memory bound
fc1000, 1, 83635, (250, 4), (16, 128), (1, 1), 0.696,memory bound
fc1000, 2, 128013, (40, 25), (4, 512), (1, 1), 0.2,memory bound
fc1000, 3, 140859, (50, 20), (16, 128), (1, 1), 0.2,memory bound
baseline latency cycles: 12463618
baseline latency: 124.63618 ms
