12/07/2022 01:02:23 - INFO - __main__ -   output/resnet50_imagenet/int_W8A8_52337/gpu_0
12/07/2022 01:02:23 - INFO - __main__ -   Namespace(a_low=75, a_up=150, abit=8, batch_size=64, ckpt_path=None, dataset='imagenet', dataset_path='/home/mnt/datasets/ImageNet2012', disable_input_quantization=False, disable_quant=False, eb='sel-2-3-4-5', epoch=5, layer_8bit_l=None, layer_8bit_n=0, local_rank=0, lr=5e-05, mode='int', model='resnet50', percent=100, ptq=False, resume=False, search=False, tag='', train=True, w_low=75, w_up=150, wbit=8)
12/07/2022 01:02:23 - INFO - __main__ -   ==> Preparing data..
12/07/2022 01:02:54 - INFO - __main__ -   ==> Setting quantizer..
12/07/2022 01:02:54 - INFO - __main__ -   Namespace(a_low=75, a_up=150, abit=8, batch_size=64, ckpt_path=None, dataset='imagenet', dataset_path='/home/mnt/datasets/ImageNet2012', disable_input_quantization=False, disable_quant=False, eb='sel-2-3-4-5', epoch=5, layer_8bit_l=None, layer_8bit_n=0, local_rank=0, lr=5e-05, mode='int', model='resnet50', percent=100, ptq=False, resume=False, search=False, tag='', train=True, w_low=75, w_up=150, wbit=8)
12/07/2022 01:02:54 - INFO - __main__ -   ==> Building model..
12/07/2022 01:02:55 - INFO - __main__ -   {'milestones': Counter({2: 1, 3: 1, 4: 1}), 'gamma': 0.1, 'base_lrs': [1.25e-05], 'last_epoch': 0, '_step_count': 1, 'verbose': False, '_get_lr_called_within_step': False, '_last_lr': [1.25e-05]}
12/07/2022 01:02:55 - INFO - __main__ -   
Epoch: 0
12/07/2022 01:27:52 - INFO - __main__ -   test: [epoch: 0 | batch: 4200/20019 ] | Loss: 0.885 | Acc: 78.077% (209920/268864)
12/07/2022 01:28:28 - INFO - __main__ -   test: [epoch: 0 | batch: 4300/20019 ] | Loss: 0.885 | Acc: 78.057% (214864/275264)
12/07/2022 01:29:03 - INFO - __main__ -   test: [epoch: 0 | batch: 4400/20019 ] | Loss: 0.886 | Acc: 78.044% (219821/281664)
12/07/2022 01:29:38 - INFO - __main__ -   test: [epoch: 0 | batch: 4500/20019 ] | Loss: 0.886 | Acc: 78.039% (224802/288064)
12/07/2022 01:30:14 - INFO - __main__ -   test: [epoch: 0 | batch: 4600/20019 ] | Loss: 0.885 | Acc: 78.048% (229824/294464)
12/07/2022 01:30:49 - INFO - __main__ -   test: [epoch: 0 | batch: 4700/20019 ] | Loss: 0.885 | Acc: 78.065% (234868/300864)
12/07/2022 01:31:25 - INFO - __main__ -   test: [epoch: 0 | batch: 4800/20019 ] | Loss: 0.885 | Acc: 78.063% (239859/307264)
12/07/2022 01:32:00 - INFO - __main__ -   test: [epoch: 0 | batch: 4900/20019 ] | Loss: 0.885 | Acc: 78.066% (244865/313664)
12/07/2022 01:32:35 - INFO - __main__ -   test: [epoch: 0 | batch: 5000/20019 ] | Loss: 0.885 | Acc: 78.075% (249889/320064)
12/07/2022 01:33:10 - INFO - __main__ -   test: [epoch: 0 | batch: 5100/20019 ] | Loss: 0.885 | Acc: 78.061% (254840/326464)
12/07/2022 01:33:46 - INFO - __main__ -   test: [epoch: 0 | batch: 5200/20019 ] | Loss: 0.885 | Acc: 78.065% (259851/332864)
12/07/2022 01:34:21 - INFO - __main__ -   test: [epoch: 0 | batch: 5300/20019 ] | Loss: 0.885 | Acc: 78.080% (264899/339264)
12/07/2022 01:34:56 - INFO - __main__ -   test: [epoch: 0 | batch: 5400/20019 ] | Loss: 0.884 | Acc: 78.091% (269933/345664)
12/07/2022 01:35:32 - INFO - __main__ -   test: [epoch: 0 | batch: 5500/20019 ] | Loss: 0.884 | Acc: 78.086% (274913/352064)
12/07/2022 01:36:07 - INFO - __main__ -   test: [epoch: 0 | batch: 5600/20019 ] | Loss: 0.884 | Acc: 78.098% (279952/358464)
12/07/2022 01:36:42 - INFO - __main__ -   test: [epoch: 0 | batch: 5700/20019 ] | Loss: 0.884 | Acc: 78.091% (284926/364864)
12/07/2022 01:37:18 - INFO - __main__ -   test: [epoch: 0 | batch: 5800/20019 ] | Loss: 0.883 | Acc: 78.100% (289958/371264)
12/07/2022 01:37:53 - INFO - __main__ -   test: [epoch: 0 | batch: 5900/20019 ] | Loss: 0.883 | Acc: 78.107% (294982/377664)
12/07/2022 01:38:28 - INFO - __main__ -   test: [epoch: 0 | batch: 6000/20019 ] | Loss: 0.883 | Acc: 78.123% (300041/384064)
12/07/2022 01:39:04 - INFO - __main__ -   test: [epoch: 0 | batch: 6100/20019 ] | Loss: 0.883 | Acc: 78.124% (305045/390464)
12/07/2022 01:39:39 - INFO - __main__ -   test: [epoch: 0 | batch: 6200/20019 ] | Loss: 0.883 | Acc: 78.122% (310037/396864)
12/07/2022 01:40:14 - INFO - __main__ -   test: [epoch: 0 | batch: 6300/20019 ] | Loss: 0.883 | Acc: 78.114% (315007/403264)
12/07/2022 01:40:50 - INFO - __main__ -   test: [epoch: 0 | batch: 6400/20019 ] | Loss: 0.883 | Acc: 78.117% (320019/409664)
12/07/2022 01:41:25 - INFO - __main__ -   test: [epoch: 0 | batch: 6500/20019 ] | Loss: 0.883 | Acc: 78.116% (325014/416064)
12/07/2022 01:42:00 - INFO - __main__ -   test: [epoch: 0 | batch: 6600/20019 ] | Loss: 0.883 | Acc: 78.116% (330010/422464)
12/07/2022 01:42:36 - INFO - __main__ -   test: [epoch: 0 | batch: 6700/20019 ] | Loss: 0.883 | Acc: 78.118% (335018/428864)
12/07/2022 01:43:11 - INFO - __main__ -   test: [epoch: 0 | batch: 6800/20019 ] | Loss: 0.882 | Acc: 78.125% (340051/435264)
12/07/2022 01:43:47 - INFO - __main__ -   test: [epoch: 0 | batch: 6900/20019 ] | Loss: 0.882 | Acc: 78.140% (345117/441664)
12/07/2022 01:44:22 - INFO - __main__ -   test: [epoch: 0 | batch: 7000/20019 ] | Loss: 0.881 | Acc: 78.142% (350124/448064)
12/07/2022 01:44:57 - INFO - __main__ -   test: [epoch: 0 | batch: 7100/20019 ] | Loss: 0.881 | Acc: 78.147% (355149/454464)
12/07/2022 01:45:32 - INFO - __main__ -   test: [epoch: 0 | batch: 7200/20019 ] | Loss: 0.881 | Acc: 78.151% (360171/460864)
12/07/2022 01:46:08 - INFO - __main__ -   test: [epoch: 0 | batch: 7300/20019 ] | Loss: 0.882 | Acc: 78.147% (365151/467264)
12/07/2022 01:46:43 - INFO - __main__ -   test: [epoch: 0 | batch: 7400/20019 ] | Loss: 0.882 | Acc: 78.149% (370166/473664)
12/07/2022 01:47:18 - INFO - __main__ -   test: [epoch: 0 | batch: 7500/20019 ] | Loss: 0.881 | Acc: 78.155% (375192/480064)
12/07/2022 01:47:54 - INFO - __main__ -   test: [epoch: 0 | batch: 7600/20019 ] | Loss: 0.881 | Acc: 78.168% (380257/486464)
12/07/2022 01:48:29 - INFO - __main__ -   test: [epoch: 0 | batch: 7700/20019 ] | Loss: 0.881 | Acc: 78.170% (385271/492864)
12/07/2022 01:49:04 - INFO - __main__ -   test: [epoch: 0 | batch: 7800/20019 ] | Loss: 0.881 | Acc: 78.164% (390246/499264)
12/07/2022 01:49:39 - INFO - __main__ -   test: [epoch: 0 | batch: 7900/20019 ] | Loss: 0.880 | Acc: 78.168% (395268/505664)
12/07/2022 01:50:15 - INFO - __main__ -   test: [epoch: 0 | batch: 8000/20019 ] | Loss: 0.881 | Acc: 78.162% (400239/512064)
12/07/2022 01:50:50 - INFO - __main__ -   test: [epoch: 0 | batch: 8100/20019 ] | Loss: 0.881 | Acc: 78.160% (405232/518464)
12/07/2022 01:51:25 - INFO - __main__ -   test: [epoch: 0 | batch: 8200/20019 ] | Loss: 0.881 | Acc: 78.165% (410259/524864)
